game,task,status,steps_taken,command_count,reason
zork1,Look around the clearing,completed,1,1,
zork1,Take pile of leaves,completed,1,1,
zork1,Look around the clearing,completed,1,1,
zork1,Drop birds nest,completed,1,1,
zork1,Read small leaflet,completed,1,1,
zork1,Go west,completed,2,2,
zork1,Go east,completed,1,1,
zork1,Open small window,completed,1,1,
zork1,Go through window,completed,5,5,
zork1,Go south,completed,2,2,
zork1,Go north,completed,1,1,
zork1,Go west,completed,1,1,
zork1,Open mailbox,completed,1,1,
zork1,Drop pile of leaves,completed,1,1,
zork1,Go east,completed,1,1,
zork1,Go east,completed,2,2,
zork1,Examine rubber mat,failed,5,5,"Critique: Try ""look at rubber mat"" or ""examine rubber mat"" to prompt a more detailed description. If that fails, try ""move mat"" or ""look under mat"" for further interaction."
zork1,Open the front door,failed,5,5,"Critique: Try moving to the location where the front door is visible (e.g., ""look at door"" or ""go to front door""), then use ""open door"" again. If the door is boarded, ensure you have removed all obstacles first."
zork1,Examine jewel-encrusted egg,failed,5,5,"Critique: Try ""examine jewel-encrusted egg"" or ""look at jewel-encrusted egg"" to prompt a more detailed description from the game."
zork1,Open the grating,failed,5,5,"Critique: Try exploring nearby areas or using ""look"" or ""examine"" commands to locate the grating before attempting to open it. Ensure you are in the correct location where the grating is visible."
zork1,Examine birds nest,failed,5,5,"Critique: Try using ""examine birds nest"" or ""look at birds nest"" exactly, or try examining it in a different location. Sometimes the game requires the full object name or a specific context."
zork1,Open mailbox,failed,5,5,"Critique: Try ""open mailbox"" again while you are at the location with the mailbox, and look for a message confirming it is open or describing its contents."
zork1,Go east to the clearing,failed,5,5,"Critique: Try exploring other directions or examining your surroundings for alternate paths to the clearing. Use ""look"" to find possible exits, or try ""go northeast,"" ""go southeast,"" or similar commands if available."
zork1,Climb up the canyon wall,failed,5,5,"Critique: Try using ""climb up"", ""climb canyon"", or ""go up"" again. If the game still doesn't respond, look for objects or features (like vines or ledges) that might help you climb."
zork1,Examine jewel-encrusted egg,failed,5,5,"Critique: Try using ""examine egg"" or ""look at egg"" again, or check if the egg is called something else in the game. You may also need to be in a different location or drop and pick up the egg before examining it."
zork1,Read the jewel-encrusted egg,failed,5,5,"Critique: Try ""examine egg"" or ""look at egg"" again to see if a more detailed description appears, or check if the egg can be opened in a different way. If the egg is not readable, the task may not be possible."
zork1,Go southwest along narrow path,failed,5,5,"Critique: Try ""go southwest"" or ""sw"" again from your current location, or look for a location where a narrow path leads southwest and take that direction."
zork1,Open jewel-encrusted egg,failed,5,5,"Critique: Try using ""open jewel-encrusted egg"" or ""examine egg closely"" to see if a more specific command is needed to open it. Some games require a special action or tool—consider examining the egg for hidden mechanisms or using another item on it."
zork1,Go east across the rainbow,failed,5,5,"Critique: Try examining the rainbow for clues, or look for another way to cross—perhaps a specific command like ""walk on rainbow"" or ""climb rainbow"" is needed. Consider if an item or action is required to make the rainbow crossable."
zork1,Climb down into the canyon,failed,5,5,"Critique: Try specifying the object more clearly, such as ""climb down ledge"" or ""climb down into canyon,"" or look for an obvious path or exit (e.g., ""go down"" or ""descend""). Use ""look"" to see if there is a more specific feature to interact with."
zork1,Examine jewel-encrusted egg,failed,5,5,"Critique: Try ""look at egg closely"" or ""inspect jewel-encrusted egg"" to see if a more detailed description is available."
zork1,Examine jewel-encrusted egg closely,failed,5,5,"Critique: Try using ""look at egg"" or ""examine egg"" again, or check if the egg is called something else in the game. You may also need to open or manipulate the egg before examining it."
zork1,Examine birds nest,failed,5,5,"Critique: Try ""look at nest"" or ""examine birds nest"" again, or simply ""look"" while the nest is present in the room, as some games require the object to be placed in the environment rather than in your inventory for a detailed description."
zork1,Open birds nest,failed,5,5,"Critique: Try examining the nest more closely or using commands like ""search nest"" or ""look under nest"" to discover if it can be opened or if it contains anything."
zork1,Open grating,failed,5,5,"Critique: Try ""open grating"" again and look for a message confirming it is open, or examine the grating after attempting to open it to check its status. If it is locked, try to find a key or another way to open it."
detective,Look around and examine your surroundings,completed,1,1,
detective,Take white paper,completed,1,1,
detective,Examine piece of white paper,completed,1,1,
detective,Read piece of white paper,completed,1,1,
detective,Look for exits or directions,completed,1,1,
detective,Go north,completed,2,2,
detective,Go west,completed,1,1,
detective,Go east to Mayor's home,completed,1,1,
detective,Look around mayor's house,completed,1,1,
detective,Examine piece of white paper,completed,1,1,
detective,Look around,completed,1,1,
detective,Go north,completed,3,3,
detective,Go south,completed,2,2,
detective,Go west,completed,2,2,
detective,Examine piece of white paper,completed,1,1,
detective,Read piece of white paper,completed,1,1,
detective,Look around,completed,1,1,
detective,Go north,completed,3,3,
detective,Go east to video store,completed,1,1,
detective,Go east,completed,3,3,
detective,Open guests door,failed,5,5,"Critique: Try exploring your surroundings to locate the guests door first, or use a different description such as ""open guest room door"" or ""open door to guest room"" if it might be named differently."
detective,Look around and examine your surroundings,completed,1,1,
detective,Take the white paper,completed,1,1,
detective,Examine white paper,completed,1,1,
detective,Read the white paper,completed,1,1,
detective,Look for exits or directions,completed,1,1,
detective,Go north,completed,1,1,
detective,Go west,completed,1,1,
detective,Go east to Mayor's home,completed,1,1,
detective,Examine living room,completed,1,1,
detective,Take battered piece of wood,completed,1,1,
detective,Examine piece of white paper,completed,1,1,
detective,Examine wooden wood,completed,1,1,
detective,Go west,completed,3,3,
detective,Take paper note from table,completed,1,1,
detective,Read paper note,completed,1,1,
detective,Go west,completed,2,2,
detective,Read paper note,completed,1,1,
detective,Examine wooden wood,completed,1,1,
detective,Go east,completed,1,1,
detective,Go north,completed,3,3,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Examine computer,failed,5,5,"Critique: Try using ""look at computer"" or ensure you are in the same room as the computer before examining it. If you can't see a computer, try searching other rooms or using ""look"" to find it first."
detective,Examine piece of white paper,failed,5,5,"Critique: Try simpler commands like ""look at paper"" or ""read piece of white paper,"" or check if the paper has a different name in your inventory (e.g., ""paper note"")."
detective,Read piece of white paper,failed,5,5,"Critique: Try ""examine piece of white paper"" or ""look at piece of white paper"" to see if the game provides a description or readable text. Sometimes ""read"" may not trigger the correct response—using ""examine"" or ""look at"" often works for written objects."
