game,skill_description,task,timestamp
zork1,"
The house is a beautiful colonial house which is painted white.  It is clear that the owners must have been extremely wealthy.

>                                                                                                                                South of HouseScore: 0Moves: 29",Examine south side of house,130.7457401752472
zork1,"
West of House
This is an open field west of a white house, with a boarded front door.
There is a small mailbox here.
A rubber mat saying 'Welcome to Zork!' lies by the door.

>                                                                                                                                West of HouseScore: 0Moves: 30",Go west,135.6476936340332
zork1,"
That's already open.

>                                                                                                                                West of HouseScore: 0Moves: 31",Open mailbox,140.2644226551056
zork1,"
Forest
This is a dimly lit forest, with large trees all around.  One particularly large tree with some low branches stands here.

>                                                                                                                                ForestScore: 0Moves: 33",Go north,148.45934796333313
zork1,"
Up a Tree
You are about 10 feet above the ground nestled among some large branches.  The nearest branch above you is above your reach.
On the branch is a small birds nest.
In the bird's nest is a large egg encrusted with precious jewels, apparently scavenged somewhere by a childless songbird.  The egg is covered with fine gold inlay, and ornamented in lapis lazuli and mother-of-pearl.  Unlike most eggs, this one is hinged and has a delicate looking clasp holding it closed.  The egg appears extremely fragile.

>                                                                                                                                Up a TreeScore: 0Moves: 34",Climb the large tree,155.9272222518921
zork1,"
Taken.

>                                                                                                                                Up a TreeScore: 5Moves: 35",Take jeweled egg from nest,160.54904460906982
zork1,"
Forest
This is a dimly lit forest, with large trees all around.  One particularly large tree with some low branches stands here.

>                                                                                                                                ForestScore: 5Moves: 36",Climb down from the tree,166.11675834655762
zork1,"
Clearing
You are in a clearing, with a forest surrounding you on the west and south.
There is a pile of leaves on the ground.

>                                                                                                                                ClearingScore: 5Moves: 41",Go south,185.31851625442505
zork1,"
Done.
A grating appears on the ground.

>                                                                                                                                ClearingScore: 5Moves: 42",Move leaves with your hands,189.72564673423767
zork1,"
Clearing
There is a pile of leaves on the ground.

>                                                                                                                                ClearingScore: 5Moves: 45",Go north,212.1492462158203
zork1,"
Forest
This is a dimly lit forest, with large trees all around.  To the east, there appears to be sunlight.

>                                                                                                                                ForestScore: 5Moves: 46",Go south,216.9589502811432
zork1,"
Clearing
There is a pile of leaves on the ground.

>                                                                                                                                ClearingScore: 5Moves: 47",Go east toward the sunlight,221.69748067855835
zork1,"
Forest
This is a dimly lit forest, with large trees all around.  One particularly large tree with some low branches stands here.

>                                                                                                                                ForestScore: 5Moves: 48",Go west,226.58091402053833
zork1,"
Up a Tree
On the branch is a small birds nest.

>                                                                                                                                Up a TreeScore: 5Moves: 49",Climb the large tree,237.23028302192688
zork1,"
Taken.

>                                                                                                                                Up a TreeScore: 5Moves: 50",Take birds nest,241.33270478248596
zork1,"
Forest

>                                                                                                                                ForestScore: 5Moves: 51",Climb down from the tree,245.58987426757812
zork1,"
Clearing
You are in a clearing, with a forest surrounding you on the west and south.
There is a grating securely fastened into the ground.
There is a pile of leaves on the ground.

>                                                                                                                                ClearingScore: 5Moves: 52",Go south,249.65496611595154
zork1,"
Done.

>                                                                                                                                ClearingScore: 5Moves: 54",Examine pile of leaves,263.7665071487427
zork1,"
Forest

>                                                                                                                                ForestScore: 5Moves: 55",Go west,268.9818437099457
zork1,"
Clearing
You are in a clearing, with a forest surrounding you on the west and south.
There is a grating securely fastened into the ground.
There is a pile of leaves on the ground.

>                                                                                                                                ClearingScore: 5Moves: 56",Go east,272.9718451499939
zork1,"
Done.

>                                                                                                                                ClearingScore: 5Moves: 57",Move the pile of leaves,277.89317560195923
zork1,"
Dropped.

>                                                                                                                                ClearingScore: 5Moves: 62",Drop birds nest,303.08775424957275
zork1,"
North of House

>                                                                                                                                North of HouseScore: 5Moves: 64",Go west,310.4572434425354
zork1,"
There is nothing interesting there.

>                                                                                                                                West of HouseScore: 5Moves: 68",Look under the rubber mat,330.4831967353821
zork1,"
Forest

>                                                                                                                                ForestScore: 5Moves: 72",Go north,348.9137794971466
zork1,"
Forest
This is a large forest, with trees obstructing all views except to the east, where a small clearing may be seen through the trees.

>                                                                                                                                ForestScore: 5Moves: 74",Go south,356.4370684623718
zork1,"
Canyon View
You are at the top of the Great Canyon on its south wall.  From here there is a marvelous view of the Canyon and parts of the Frigid River upstream.  Across the canyon, the walls of the White Cliffs still appear to loom far above.  Following the Canyon upstream (north and northwest), Aragain Falls may be seen, complete with rainbow. Fortunately, my vision is better than average and I can discern the top of the Flood Control Dam #3 far to the distant north.  To the west and south can be seen an immense forest, stretching for miles around.  It is possible to climb down into the canyon from here.

>                                                                                                                                Canyon ViewScore: 5Moves: 80",Look around Canyon View,375.1257131099701
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 82",Climb down into the canyon,388.2870931625366
zork1,"
There is no obvious way to open the egg.

>                                                                                                                                Canyon ViewScore: 5Moves: 87",Examine jewel-encrusted egg,419.98757553100586
zork1,"
Canyon View
You are at the top of the Great Canyon on its south wall.  From here there is a marvelous view of the Canyon and parts of the Frigid River upstream.  Across the canyon, the walls of the White Cliffs still appear to loom far above.  Following the Canyon upstream (north and northwest), Aragain Falls may be seen, complete with rainbow. Fortunately, my vision is better than average and I can discern the top of the Flood Control Dam #3 far to the distant north.  To the west and south can be seen an immense forest, stretching for miles around.  It is possible to climb down into the canyon from here.

>                                                                                                                                Canyon ViewScore: 5Moves: 88",Look around Canyon View,424.11293029785156
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 91",Climb down into the canyon,442.2727382183075
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 92",Go north along the narrow path,446.8563528060913
zork1,"
Canyon Bottom

>                                                                                                                                Canyon BottomScore: 5Moves: 93",Go southeast along the narrow path,451.16897082328796
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 94",Look around Canyon Bottom,455.455438375473
zork1,"
End of Rainbow

>                                                                                                                                End of RainbowScore: 5Moves: 95",Go north along the narrow path,461.2982144355774
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 96",Look around End of Rainbow,465.7925148010254
zork1,"
                          WELCOME TO ZORK

    ZORK is a game of adventure, danger, and low cunning.  In it you will explore some of the most amazing territory ever seen by mortal man.  Hardened adventurers have run screaming from the terrors contained within!

    In ZORK the intrepid explorer delves into the forgotten secrets of a lost labyrinth deep in the bowels of the earth, searching for vast treasures long hidden from prying eyes, treasures guarded by fearsome monsters and diabolical traps!

    No PDP-10 should be without one!

    ZORK was created at the MIT Laboratory for Computer Science, by Tim Anderson, Marc Blank, Bruce Daniels, and Dave Lebling.  It was inspired by the ADVENTURE game of Crowther and Woods, and the long tradition of fantasy and science fiction adventure.  ZORK was originally written in MDL (alias MUDDLE).  The current version was translated from MDL into Inform by Ethan Dicks <erd@infinet.com>.

    On-line information may be available using the HELP and INFO commands (most systems).

    Direct inquiries, comments, etc. by Net mail to erd@infinet.com.

    (c) Copyright 1978,1979 Massachusetts Institute of Technology. 
                     All rights reserved.

>                                                                                                                                End of RainbowScore: 5Moves: 101",Read small leaflet,487.7092921733856
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 103",Go southwest along the narrow path,495.3923406600952
zork1,"
Canyon Bottom

>                                                                                                                                Canyon BottomScore: 5Moves: 104",Go southeast along the narrow path,500.41794538497925
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 105",Look around Canyon Bottom,504.56287026405334
zork1,"
You can't go that way.

>                                                                                                                                End of RainbowScore: 5Moves: 107",Go north along the narrow path,512.589109659195
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 108",Look around End of Rainbow,517.1978869438171
zork1,"
You can't go that way.

>                                                                                                                                Canyon BottomScore: 5Moves: 110",Go southeast along the narrow path,527.6443221569061
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 111",Look around Canyon Bottom,531.4611234664917
zork1,"
You can't go that way.

>                                                                                                                                End of RainbowScore: 5Moves: 113",Go north along the narrow path,539.112731218338
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 114",Look around End of Rainbow,543.9355010986328
zork1,"
Canyon Bottom

>                                                                                                                                Canyon BottomScore: 5Moves: 115",Go southeast along the narrow path,548.8402998447418
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 116",Look around Canyon Bottom,552.8646819591522
zork1,"
End of Rainbow

>                                                                                                                                End of RainbowScore: 5Moves: 117",Go north along the narrow path,557.1603226661682
zork1,"
You can't go that way.

>                                                                                                                                Canyon BottomScore: 5Moves: 121",Go southwest along narrow path,572.199937582016
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 122",Look around Canyon Bottom,576.834939956665
zork1,"
End of Rainbow

>                                                                                                                                End of RainbowScore: 5Moves: 123",Go north along narrow path,581.1053078174591
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 124",Look around End of Rainbow,585.4998571872711
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 125",Go southeast along narrow path,590.3206295967102
zork1,"
You can't go that way.

>                                                                                                                                End of RainbowScore: 5Moves: 127",Go north along narrow path,598.6174726486206
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 128",Look around End of Rainbow,603.2399227619171
zork1,"
You can't go that way.

>                                                                                                                                Canyon BottomScore: 5Moves: 130",Go southeast along narrow path,611.5600783824921
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 131",Look around Canyon Bottom,615.7487082481384
zork1,"
You can't go that way.

>                                                                                                                                End of RainbowScore: 5Moves: 133",Go north along narrow path,623.8375554084778
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 134",Look around End of Rainbow,629.2856934070587
zork1,"
Canyon Bottom

>                                                                                                                                Canyon BottomScore: 5Moves: 135",Go southeast along narrow path,634.3457355499268
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 136",Look around Canyon Bottom,639.1653699874878
zork1,"
You can't go that way.

>                                                                                                                                End of RainbowScore: 5Moves: 138",Go north along narrow path,646.8420505523682
zork1,"
                          WELCOME TO ZORK

    ZORK is a game of adventure, danger, and low cunning.  In it you will explore some of the most amazing territory ever seen by mortal man.  Hardened adventurers have run screaming from the terrors contained within!

    In ZORK the intrepid explorer delves into the forgotten secrets of a lost labyrinth deep in the bowels of the earth, searching for vast treasures long hidden from prying eyes, treasures guarded by fearsome monsters and diabolical traps!

    No PDP-10 should be without one!

    ZORK was created at the MIT Laboratory for Computer Science, by Tim Anderson, Marc Blank, Bruce Daniels, and Dave Lebling.  It was inspired by the ADVENTURE game of Crowther and Woods, and the long tradition of fantasy and science fiction adventure.  ZORK was originally written in MDL (alias MUDDLE).  The current version was translated from MDL into Inform by Ethan Dicks <erd@infinet.com>.

    On-line information may be available using the HELP and INFO commands (most systems).

    Direct inquiries, comments, etc. by Net mail to erd@infinet.com.

    (c) Copyright 1978,1979 Massachusetts Institute of Technology. 
                     All rights reserved.

>                                                                                                                                End of RainbowScore: 5Moves: 139",Read the small leaflet,651.4579560756683
zork1,"
                          WELCOME TO ZORK

    ZORK is a game of adventure, danger, and low cunning.  In it you will explore some of the most amazing territory ever seen by mortal man.  Hardened adventurers have run screaming from the terrors contained within!

    In ZORK the intrepid explorer delves into the forgotten secrets of a lost labyrinth deep in the bowels of the earth, searching for vast treasures long hidden from prying eyes, treasures guarded by fearsome monsters and diabolical traps!

    No PDP-10 should be without one!

    ZORK was created at the MIT Laboratory for Computer Science, by Tim Anderson, Marc Blank, Bruce Daniels, and Dave Lebling.  It was inspired by the ADVENTURE game of Crowther and Woods, and the long tradition of fantasy and science fiction adventure.  ZORK was originally written in MDL (alias MUDDLE).  The current version was translated from MDL into Inform by Ethan Dicks <erd@infinet.com>.

    On-line information may be available using the HELP and INFO commands (most systems).

    Direct inquiries, comments, etc. by Net mail to erd@infinet.com.

    (c) Copyright 1978,1979 Massachusetts Institute of Technology. 
                     All rights reserved.

>                                                                                                                                End of RainbowScore: 5Moves: 140",Read the small leaflet,655.3804240226746
zork1,"
                          WELCOME TO ZORK

    ZORK is a game of adventure, danger, and low cunning.  In it you will explore some of the most amazing territory ever seen by mortal man.  Hardened adventurers have run screaming from the terrors contained within!

    In ZORK the intrepid explorer delves into the forgotten secrets of a lost labyrinth deep in the bowels of the earth, searching for vast treasures long hidden from prying eyes, treasures guarded by fearsome monsters and diabolical traps!

    No PDP-10 should be without one!

    ZORK was created at the MIT Laboratory for Computer Science, by Tim Anderson, Marc Blank, Bruce Daniels, and Dave Lebling.  It was inspired by the ADVENTURE game of Crowther and Woods, and the long tradition of fantasy and science fiction adventure.  ZORK was originally written in MDL (alias MUDDLE).  The current version was translated from MDL into Inform by Ethan Dicks <erd@infinet.com>.

    On-line information may be available using the HELP and INFO commands (most systems).

    Direct inquiries, comments, etc. by Net mail to erd@infinet.com.

    (c) Copyright 1978,1979 Massachusetts Institute of Technology. 
                     All rights reserved.

>                                                                                                                                End of RainbowScore: 5Moves: 141",Read the small leaflet,661.0833261013031
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 147",Look around End of Rainbow,686.7879450321198
zork1,"
Canyon Bottom

>                                                                                                                                Canyon BottomScore: 5Moves: 148",Go southeast along the narrow path,692.0046188831329
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 149",Look around Canyon Bottom,696.3208529949188
zork1,"
End of Rainbow

>                                                                                                                                End of RainbowScore: 5Moves: 150",Go north along the narrow path,700.5237200260162
zork1,"
You can't go that way.

>                                                                                                                                End of RainbowScore: 5Moves: 151",Go northwest along the narrow path,705.5948514938354
zork1,"
You can't go that way.

>                                                                                                                                Canyon BottomScore: 5Moves: 153",Go southwest along the narrow path,713.7990915775299
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 154",Look around Canyon Bottom,718.7239079475403
zork1,"
End of Rainbow

>                                                                                                                                End of RainbowScore: 5Moves: 155",Go north along the narrow path,723.7026391029358
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 156",Look around End of Rainbow,728.6778984069824
zork1,"
Canyon Bottom

>                                                                                                                                Canyon BottomScore: 5Moves: 157",Go southeast along the narrow path,734.1006662845612
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 158",Look around Canyon Bottom,738.4355757236481
zork1,"
End of Rainbow

>                                                                                                                                End of RainbowScore: 5Moves: 159",Go north along the narrow path,743.0369825363159
zork1,"
You can't go that way.

>                                                                                                                                End of RainbowScore: 5Moves: 160",Go southwest,747.7171807289124
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 161",Look around End of Rainbow,752.5277013778687
zork1,"
You can't go that way.

>                                                                                                                                Canyon BottomScore: 5Moves: 163",Go southeast along the narrow path,759.853621006012
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 164",Look around Canyon Bottom,764.5005695819855
zork1,"
You can't go that way.

>                                                                                                                                End of RainbowScore: 5Moves: 166",Go north along narrow path,772.4812610149384
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 167",Look around End of Rainbow,777.0440866947174
zork1,"
You can't go that way.

>                                                                                                                                Canyon BottomScore: 5Moves: 169",Go southeast along narrow path,785.5405411720276
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 170",Look around Canyon Bottom,792.1421718597412
zork1,"
End of Rainbow

>                                                                                                                                End of RainbowScore: 5Moves: 171",Go north along narrow path,796.4381420612335
zork1,"
You can't go that way.

>                                                                                                                                End of RainbowScore: 5Moves: 172",Go southwest along narrow path,801.8849375247955
zork1,"
I only understood you as far as wanting to cross.

>                                                                                                                                End of RainbowScore: 5Moves: 178",Go west across the rainbow,827.7857139110565
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 179",Look around End of Rainbow,832.7379405498505
zork1,"
You can't go that way.

>                                                                                                                                Canyon BottomScore: 5Moves: 181",Go southeast along narrow path,840.6814122200012
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 182",Look around Canyon Bottom,845.620778799057
zork1,"
End of Rainbow

>                                                                                                                                End of RainbowScore: 5Moves: 183",Go north along the narrow path,850.8240134716034
zork1,"
End of Rainbow
You are on a small, rocky beach on the continuation of the Frigid River past the Falls.  The beach is narrow due to the presence of the White Cliffs.  The river canyon opens here and sunlight shines in from above. A rainbow crosses over the falls to the west and a narrow path continues to the southeast.

>                                                                                                                                End of RainbowScore: 5Moves: 192",Look around End of Rainbow,893.9422073364258
zork1,"
Canyon Bottom

>                                                                                                                                Canyon BottomScore: 5Moves: 193",Go southeast along narrow path,898.7461309432983
zork1,"
                          WELCOME TO ZORK

    ZORK is a game of adventure, danger, and low cunning.  In it you will explore some of the most amazing territory ever seen by mortal man.  Hardened adventurers have run screaming from the terrors contained within!

    In ZORK the intrepid explorer delves into the forgotten secrets of a lost labyrinth deep in the bowels of the earth, searching for vast treasures long hidden from prying eyes, treasures guarded by fearsome monsters and diabolical traps!

    No PDP-10 should be without one!

    ZORK was created at the MIT Laboratory for Computer Science, by Tim Anderson, Marc Blank, Bruce Daniels, and Dave Lebling.  It was inspired by the ADVENTURE game of Crowther and Woods, and the long tradition of fantasy and science fiction adventure.  ZORK was originally written in MDL (alias MUDDLE).  The current version was translated from MDL into Inform by Ethan Dicks <erd@infinet.com>.

    On-line information may be available using the HELP and INFO commands (most systems).

    Direct inquiries, comments, etc. by Net mail to erd@infinet.com.

    (c) Copyright 1978,1979 Massachusetts Institute of Technology. 
                     All rights reserved.

>                                                                                                                                Canyon BottomScore: 5Moves: 194",Read small leaflet,903.9712071418762
zork1,"
Canyon Bottom
You are beneath the walls of the river canyon which may be climbable here.  There is a small stream here, which is the lesser part of the runoff of Aragain Falls. To the north is a narrow path.

>                                                                                                                                Canyon BottomScore: 5Moves: 195",Look around Canyon Bottom,909.0999441146851
zork1,"
Rocky Ledge

>                                                                                                                                Rocky LedgeScore: 5Moves: 196",Climb canyon walls,920.6669244766235
zork1,"
Rocky Ledge
You are on a ledge about halfway up the wall of the river canyon. You can see from here that the main flow from Aragain Falls twists along a passage which it is impossible to enter.  Below you is the canyon bottom.  Above you is more cliff, which still appears climbable.

>                                                                                                                                Rocky LedgeScore: 5Moves: 197",Look around Rocky Ledge,926.3692202568054
zork1,"
Canyon View

>                                                                                                                                Canyon ViewScore: 5Moves: 198",Climb up to higher ledge,932.5514371395111
zork1,"
Canyon View
You are at the top of the Great Canyon on its south wall.  From here there is a marvelous view of the Canyon and parts of the Frigid River upstream.  Across the canyon, the walls of the White Cliffs still appear to loom far above.  Following the Canyon upstream (north and northwest), Aragain Falls may be seen, complete with rainbow. Fortunately, my vision is better than average and I can discern the top of the Flood Control Dam #3 far to the distant north.  To the west and south can be seen an immense forest, stretching for miles around.  It is possible to climb down into the canyon from here.

>                                                                                                                                Canyon ViewScore: 5Moves: 199",Look around Canyon View,938.6925601959229
